,Sig.,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups
,,Group A,Group A,Group A,Group A,Group A,Group A,Group B,Group B,Group B,Group B,Group B,Group B,Group C,Group C,Group C,Group C,Group C,Group C
,,N,Mean,Standard Deviation,Standard Deviation Error,95% Upper Bound Mean,95% Lower Bound Mean,N,Mean,Standard Deviation,Standard Deviation Error,95% Upper Bound Mean,95% Lower Bound Mean,N,Mean,Standard Deviation,Standard Deviation Error,95% Upper Bound Mean,95% Lower Bound Mean
Feature,,,,,,,,,,,,,,,,,,,
Smoothed_50Px_Nucleus_HematoxylinODStdDev,2.62009157064727e-158,367.0,0.271995924239782,0.025937414607208564,0.0013539220216158849,0.2746459935583914,0.26934585492117263,400.0,0.3181121974625,0.023421684014667588,0.001171084200733379,0.32040465154417785,0.3158197433808221,76.0,0.37142289639473686,0.03962122004889361,0.004544865637181972,0.3802720341393288,0.3625737586501448
Smoothed_50Px_Nucleus_HematoxylinODMax,2.5308688303202055e-41,367.0,1.581394753694823,0.1398637608966271,0.007300828890298644,1.5956848696200419,1.567104637769604,400.0,1.7097963458699998,0.11192183957338203,0.0055960919786690955,1.7207509671430996,1.6988417245969,76.0,1.740695216,0.19548548410863778,0.022423722898912583,1.784355607421841,1.697034824578159
Smoothed_50Px_Nucleus_HematoxylinODMin,6.447185767936085e-132,367.0,0.10660831556948229,0.07180713764183859,0.0037483020738492707,0.11394497171673426,0.09927165942223032,400.0,-0.0006181647850000003,0.0590774741180805,0.002953873705904026,0.005164186159210564,-0.006400515729210566,76.0,-0.10073986198684211,0.06494444237664142,0.0074496384543258,-0.08623494983049201,-0.1152447741431922
Smoothed_50Px_Nucleus_HematoxylinODRange,3.362680526328954e-91,367.0,1.4747865159482287,0.16623723663692083,0.008677513117777971,1.4917712542921764,1.4578017776042815,400.0,1.71041456877,0.15349605043802586,0.007674802521901293,1.7254383666799935,1.6953907708600067,76.0,1.8414356692105263,0.21390433071179998,0.024536509504169468,1.8892097883390548,1.7936615500819981
Smoothed_50Px_Nucleus_EosinODMean,3.22433628717767e-19,367.0,0.01734678663760218,0.04222020644424764,0.0022038768369052886,0.021660496211884914,0.013033077063319444,400.0,0.0365999909175,0.03367767468368348,0.0016838837341841737,0.03989627493967716,0.03330370689532284,76.0,-0.006120859921052632,0.06193613220679385,0.0071045616116628746,0.007712166032939559,-0.019953885875044822
Smoothed_50Px_Nucleus_EosinODSum,1.1154882665647648e-15,367.0,11.912052962882834,26.776277676809077,1.3977103174137562,14.6478303336219,9.176275592143767,400.0,22.3021338348175,19.993652885481627,0.9996826442740812,24.259061062435727,20.345206607199273,76.0,-2.2932630409342107,41.898089929448794,4.806040524469644,7.064398549583856,-11.650924631452277
Smoothed_50Px_Nucleus_EosinODStdDev,1.0908341787704696e-176,367.0,0.10554463530245231,0.015286500062169793,0.0007979488079684021,0.10710648275013195,0.10398278785477268,400.0,0.1341276335475,0.018963886982549187,0.0009481943491274597,0.13598376994189412,0.1322714971531059,76.0,0.1923778013026316,0.034167339323264524,0.003919262612625617,0.2000088508176307,0.18474675178763245
Smoothed_50Px_Nucleus_EosinODMax,2.9380538705226183e-144,367.0,0.3613628292425068,0.05685167993778009,0.00296763353631345,0.36717146109714976,0.3555541973878638,400.0,0.47419323769,0.06535035610702107,0.0032675178053510534,0.4805895621602143,0.46779691321978567,76.0,0.5937335621447368,0.10890606601995374,0.012492382529461768,0.6180570125140828,0.5694101117753908
Smoothed_50Px_Nucleus_EosinODMin,9.443761835436218e-114,367.0,-0.36703516148501364,0.07720979863277937,0.004030318681970534,-0.3591465063684056,-0.37492381660162166,400.0,-0.47196329692249994,0.07653717254414832,0.003826858627207416,-0.46447203568402373,-0.4794545581609764,76.0,-0.6034019098815789,0.08902544700513536,0.01021191912891896,-0.5835186644300215,-0.6232851553331363
Smoothed_50Px_Nucleus_EosinODRange,4.722268733090963e-167,367.0,0.7283979850817438,0.10840528008605672,0.005658709558783815,0.7394739350590973,0.7173220351043903,400.0,0.9461564122475,0.12051831573233604,0.006025915786616805,0.9579524344568562,0.9343603900381439,76.0,1.1971354328157895,0.15737290833820824,0.01805191062887735,1.2322836322259376,1.1619872334056418
